"YTS ID","IMDb ID","Movie Title","Year","Language","Rating","Quality","YTS URL","IMDb URL","Torrent URL"
"26852","tt1227926","Dr. Horrible's Sing-Along Blog","2008","en","8.4","1080p","https://yts.mx/movies/dr-horribles-sing-along-blog-2008","https://www.imdb.com/title/tt1227926","https://yts.mx/torrent/download/9BE9B0A45CF42F103D069F2BAB78E2E3DA51837A"
"24654","tt2396224","It's Such a Beautiful Day","2012","en","8.2","1080p","https://yts.mx/movies/its-such-a-beautiful-day-2012","https://www.imdb.com/title/tt2396224","https://yts.mx/torrent/download/A4BF992DD3B465C7853C18EAD7CEB26ED20233D5"
"20784","tt0108598","Wallace & Gromit: The Wrong Trousers","1993","en","8.3","1080p","https://yts.mx/movies/wallace-gromit-the-wrong-trousers-1993","https://www.imdb.com/title/tt0108598","https://yts.mx/torrent/download/056672B95F898F482357C1B79B8C8624AEE9B33D"
"19618","tt0416716","Empire of Dreams: The Story of the 'Star Wars' Trilogy","2004","en","8.2","1080p","https://yts.mx/movies/empire-of-dreams-the-story-of-the-star-wars-trilogy-2004","https://www.imdb.com/title/tt0416716","https://yts.mx/torrent/download/33A025263308235503F22CEF6A21A96B5C2200F7"
"17623","tt6332276","What We Left Behind: Looking Back at Star Trek: Deep Space Nine","2018","en","8.3","1080p","https://yts.mx/movies/what-we-left-behind-looking-back-at-star-trek-deep-space-nine-2018","https://www.imdb.com/title/tt6332276","https://yts.mx/torrent/download/E8707913E1AAA02F37268B788E62B79ED6C073B5"
"17573","tt0401747","Red vs. Blue","2003","en","8.4","1080p","https://yts.mx/movies/red-vs-blue-2003","https://www.imdb.com/title/tt0401747","https://yts.mx/torrent/download/E19F97F72A9F26A37F12872FAF96CA901D93D31F"
"16754","tt2338151","PK","2014","hi","8.1","1080p","https://yts.mx/movies/pk-2014","https://www.imdb.com/title/tt2338151","https://yts.mx/torrent/download/001F2DD3EDBDCF95B0E9B8BE3257332B7D7C3D03"
"16709","tt0087544","Nausicaä of the Valley of the Wind","1984","ja","8","1080p","https://yts.mx/movies/nausicaa-of-the-valley-of-the-wind-1984","https://www.imdb.com/title/tt0087544","https://yts.mx/torrent/download/CCE765F8981FBE5F7A018E44707DFFCC47152E90"
"16646","tt0079944","Stalker","1979","ru","8.1","1080p","https://yts.mx/movies/stalker-1979","https://www.imdb.com/title/tt0079944","https://yts.mx/torrent/download/6062A0B406EAFE470DA786539E5C037619F7D028"
"16565","tt5871184","Mobile Suit Gundam: The Origin III - Dawn of Rebellion","2016","ja","8","1080p","https://yts.mx/movies/mobile-suit-gundam-the-origin-iii-dawn-of-rebellion-2016","https://www.imdb.com/title/tt5871184","https://yts.mx/torrent/download/7F8C1F88D9481A01ED420C91D9B3561E65859973"
"16113","tt0387736","Farscape: The Peacekeeper Wars","2004","en","8.2","1080p","https://yts.mx/movies/farscape-the-peacekeeper-wars-2004","https://www.imdb.com/title/tt0387736","https://yts.mx/torrent/download/CFE9AAE53A48B291A9FFB887DC846488F7519084"
"53868","tt1795369","Frankenstein","2011","en","8.6","1080p","https://yts.mx/movies/frankenstein-2011","https://www.imdb.com/title/tt1795369","https://yts.mx/torrent/download/B7FE24BA64DB7784EC5D9C94313711D901CE1E82"
